codigo,nombre,stock,precio
101,ARROZ INTEGRAL,300,0.80
102,AZUCAR,1200,0.90
103,FIDEOS,800,0.70
103,PAN,500,0.50
104,PAPAS FRITAS,2000,0.60
105,LECHE ENTERA 1L,2400,0.95
106,NUTELLA,800,1.50
107,PASTA DENTAL,600,0.60
108,COCA COLA,2000,0.75
109,MANZANA,800,0.20
110,COCOA EN POLVO,900,1.50
111,LECHE DE ALMENDRAS,500,1.50
112,MANZANA,900,0.25
113,PERAS,700,0.30
114,ARROZ,1000,0.80
115,ACEITE DE OLIVA,400,2.00
116,CAFE MOLIDO,600,1.20
117,TE,500,0.90
118,QUESO,300,1.50
119,JAMON,400,1.80
120,LECHUGA,700,0.50
121,TOMATE,900,0.40
122,CEBOLLA,800,0.30
123,AJI MOLIDO,500,0.70
124,ORÉGANO,400,0.60
125,ALBAHACA,300,0.50
126,ROMERO,200,0.40
127,LAUREL,100,0.30
128,COMINO,500,0.80
129,PIMENTÓN,400,0.70
130,CLAVO DE OLOR,300,0.60
131,ANÍS ESTRELLADO,200,0.50
132,CANELA EN RAMA,100,0.40
133,CHILE EN POLVO,500,0.80
134,CHILE EN HOJAS,400,0.70
135,CHILE EN PASTA,300,0.60
136,CHILE EN SALSA,200,0.50
137,CHILE EN VINAGRE,100,0.40
138,CHILE EN ACEITE,500,0.80
139,CHILE EN MIEL,400,0.70
140,CHILE EN AZUCAR,300,0.60
141,CHILE EN SALSA DE SOYA,200,0.50
142,CHILE EN SALSA DE TOMATE,100,0.40
143,CHILE EN SALSA DE QUESO,500,0.80
144,CHILE EN SALSA DE CREMA,400,0.70
145,MOSTAZA,300,0.60
147,MAYONESA,100,0.40
148,ADEREZO DE VINAGRETA,500,0.80
149,ADEREZO DE CÉSAR,400,0.70
150,ATUN,300,0.60
151,SALSA DE SOYA,200,0.50
152,SALSA DE TOMATE,100,0.40
